City,Country,Max Temp,Description,Lat,Lon,Hotel Name
sur,OM,76.53,clear sky,22.5667,59.5289,Sur Hotel
tres arroyos,AR,74.26,scattered clouds,-38.3739,-60.2798,Andrea Hotel
cuamba,MZ,77.49,moderate rain,-14.8031,36.5372,Pensao Cariaco
businga,CD,95.9,overcast clouds,3.3333,20.8833,Hôtel Roho
hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Horse Hotel
geraldton,AU,77.41,broken clouds,-28.7667,114.6,Ocean Centre Hotel
belem de sao francisco,BR,82.26,broken clouds,-8.7539,-38.9658,Village
general roca,AR,73.62,few clouds,-39.0333,-67.5833,Hotel Austral
puerto narino,CO,70.95,overcast clouds,-3.7703,-70.3831,Eco Hotel Euare
muisne,EC,74.34,overcast clouds,0.6,-80.0333,Hostal Té de Menta
formosa,AR,82.96,light rain,-26.1775,-58.1781,Hotel Hostal del Rey
